Descrizione Campione: 
Inizio misura: 10-11-23 15:25:38
RealTime: 321
LiveTime: 320
N eventi: 266846
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	1
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	1
19	19	0
20	20	0
21	21	0
22	22	1
23	23	0
24	24	1
25	25	0
26	26	0
27	27	0
28	28	0
29	29	1
30	30	1
31	31	0
32	32	0
33	33	0
34	34	1
35	35	0
36	36	0
37	37	0
38	38	0
39	39	2
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	1
50	50	2
51	51	0
52	52	1
53	53	0
54	54	0
55	55	1
56	56	1
57	57	0
58	58	1
59	59	1
60	60	2
61	61	2
62	62	2
63	63	2
64	64	3
65	65	1
66	66	1
67	67	0
68	68	1
69	69	0
70	70	0
71	71	5
72	72	1
73	73	2
74	74	2
75	75	1
76	76	1
77	77	1
78	78	2
79	79	3
80	80	1
81	81	1
82	82	0
83	83	2
84	84	0
85	85	3
86	86	3
87	87	1
88	88	0
89	89	3
90	90	1
91	91	1
92	92	0
93	93	2
94	94	3
95	95	1
96	96	0
97	97	4
98	98	3
99	99	1
100	100	5
101	101	2
102	102	2
103	103	3
104	104	3
105	105	0
106	106	1
107	107	2
108	108	2
109	109	4
110	110	3
111	111	5
112	112	6
113	113	14
114	114	27
115	115	34
116	116	43
117	117	36
118	118	36
119	119	37
120	120	51
121	121	37
122	122	33
123	123	34
124	124	35
125	125	33
126	126	35
127	127	18
128	128	29
129	129	27
130	130	17
131	131	18
132	132	29
133	133	25
134	134	28
135	135	23
136	136	24
137	137	17
138	138	13
139	139	21
140	140	25
141	141	25
142	142	17
143	143	23
144	144	23
145	145	21
146	146	27
147	147	15
148	148	17
149	149	21
150	150	19
151	151	12
152	152	17
153	153	20
154	154	16
155	155	15
156	156	16
157	157	24
158	158	13
159	159	16
160	160	25
161	161	23
162	162	15
163	163	20
164	164	11
165	165	24
166	166	20
167	167	19
168	168	14
169	169	13
170	170	14
171	171	17
172	172	13
173	173	22
174	174	19
175	175	22
176	176	13
177	177	18
178	178	20
179	179	22
180	180	14
181	181	26
182	182	21
183	183	18
184	184	18
185	185	16
186	186	13
187	187	20
188	188	14
189	189	18
190	190	15
191	191	24
192	192	24
193	193	14
194	194	16
195	195	13
196	196	16
197	197	21
198	198	12
199	199	16
200	200	16
201	201	27
202	202	22
203	203	14
204	204	17
205	205	16
206	206	21
207	207	30
208	208	22
209	209	22
210	210	20
211	211	22
212	212	15
213	213	22
214	214	26
215	215	14
216	216	26
217	217	26
218	218	27
219	219	27
220	220	14
221	221	19
222	222	23
223	223	27
224	224	33
225	225	29
226	226	21
227	227	25
228	228	28
229	229	33
230	230	22
231	231	23
232	232	33
233	233	26
234	234	34
235	235	26
236	236	18
237	237	24
238	238	30
239	239	33
240	240	23
241	241	23
242	242	26
243	243	38
244	244	29
245	245	32
246	246	20
247	247	25
248	248	26
249	249	35
250	250	35
251	251	38
252	252	40
253	253	43
254	254	34
255	255	33
256	256	28
257	257	27
258	258	33
259	259	30
260	260	30
261	261	20
262	262	32
263	263	32
264	264	26
265	265	28
266	266	27
267	267	22
268	268	36
269	269	27
270	270	33
271	271	33
272	272	33
273	273	34
274	274	36
275	275	29
276	276	36
277	277	35
278	278	42
279	279	40
280	280	32
281	281	45
282	282	34
283	283	45
284	284	37
285	285	37
286	286	36
287	287	31
288	288	34
289	289	36
290	290	34
291	291	37
292	292	31
293	293	40
294	294	43
295	295	28
296	296	28
297	297	39
298	298	37
299	299	37
300	300	39
301	301	30
302	302	28
303	303	42
304	304	41
305	305	44
306	306	43
307	307	34
308	308	31
309	309	50
310	310	34
311	311	37
312	312	39
313	313	31
314	314	51
315	315	28
316	316	41
317	317	43
318	318	29
319	319	32
320	320	43
321	321	39
322	322	28
323	323	34
324	324	44
325	325	32
326	326	25
327	327	40
328	328	38
329	329	36
330	330	38
331	331	26
332	332	37
333	333	30
334	334	38
335	335	31
336	336	30
337	337	39
338	338	41
339	339	43
340	340	23
341	341	29
342	342	23
343	343	37
344	344	35
345	345	37
346	346	36
347	347	40
348	348	31
349	349	36
350	350	40
351	351	31
352	352	35
353	353	26
354	354	26
355	355	35
356	356	32
357	357	24
358	358	26
359	359	24
360	360	24
361	361	28
362	362	28
363	363	23
364	364	25
365	365	32
366	366	20
367	367	24
368	368	27
369	369	22
370	370	22
371	371	32
372	372	23
373	373	21
374	374	22
375	375	25
376	376	26
377	377	16
378	378	34
379	379	26
380	380	29
381	381	31
382	382	24
383	383	26
384	384	15
385	385	23
386	386	23
387	387	22
388	388	20
389	389	23
390	390	20
391	391	22
392	392	11
393	393	15
394	394	28
395	395	18
396	396	9
397	397	8
398	398	28
399	399	20
400	400	17
401	401	17
402	402	19
403	403	18
404	404	17
405	405	22
406	406	14
407	407	20
408	408	15
409	409	20
410	410	20
411	411	17
412	412	22
413	413	15
414	414	31
415	415	14
416	416	10
417	417	27
418	418	19
419	419	22
420	420	14
421	421	14
422	422	18
423	423	17
424	424	20
425	425	22
426	426	15
427	427	14
428	428	13
429	429	23
430	430	11
431	431	15
432	432	17
433	433	14
434	434	20
435	435	16
436	436	16
437	437	22
438	438	12
439	439	24
440	440	17
441	441	13
442	442	23
443	443	17
444	444	13
445	445	11
446	446	17
447	447	17
448	448	22
449	449	18
450	450	19
451	451	18
452	452	15
453	453	16
454	454	22
455	455	10
456	456	20
457	457	14
458	458	16
459	459	16
460	460	10
461	461	10
462	462	16
463	463	7
464	464	27
465	465	6
466	466	13
467	467	12
468	468	17
469	469	9
470	470	14
471	471	16
472	472	13
473	473	27
474	474	15
475	475	16
476	476	18
477	477	17
478	478	16
479	479	18
480	480	13
481	481	14
482	482	12
483	483	14
484	484	15
485	485	17
486	486	19
487	487	20
488	488	21
489	489	15
490	490	21
491	491	20
492	492	18
493	493	17
494	494	17
495	495	26
496	496	18
497	497	13
498	498	17
499	499	22
500	500	18
501	501	20
502	502	16
503	503	21
504	504	33
505	505	26
506	506	12
507	507	24
508	508	19
509	509	24
510	510	29
511	511	16
512	512	22
513	513	19
514	514	19
515	515	22
516	516	26
517	517	24
518	518	28
519	519	21
520	520	30
521	521	28
522	522	22
523	523	23
524	524	30
525	525	25
526	526	22
527	527	25
528	528	39
529	529	28
530	530	21
531	531	37
532	532	34
533	533	34
534	534	30
535	535	35
536	536	40
537	537	34
538	538	29
539	539	26
540	540	41
541	541	33
542	542	31
543	543	43
544	544	34
545	545	35
546	546	36
547	547	37
548	548	41
549	549	37
550	550	31
551	551	41
552	552	38
553	553	47
554	554	36
555	555	37
556	556	60
557	557	38
558	558	42
559	559	46
560	560	54
561	561	45
562	562	38
563	563	36
564	564	41
565	565	41
566	566	34
567	567	54
568	568	45
569	569	57
570	570	54
571	571	45
572	572	43
573	573	53
574	574	54
575	575	53
576	576	57
577	577	62
578	578	53
579	579	66
580	580	58
581	581	65
582	582	67
583	583	63
584	584	62
585	585	71
586	586	67
587	587	68
588	588	52
589	589	58
590	590	65
591	591	62
592	592	55
593	593	69
594	594	72
595	595	68
596	596	55
597	597	77
598	598	73
599	599	69
600	600	87
601	601	72
602	602	70
603	603	82
604	604	76
605	605	90
606	606	89
607	607	83
608	608	81
609	609	83
610	610	84
611	611	89
612	612	85
613	613	93
614	614	95
615	615	60
616	616	100
617	617	78
618	618	97
619	619	113
620	620	111
621	621	97
622	622	82
623	623	77
