Descrizione Campione: 
Inizio misura: 10-11-23 14:56:35
RealTime: 307
LiveTime: 307
N eventi: 254023
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	1
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	1
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	1
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	1
61	61	1
62	62	1
63	63	1
64	64	1
65	65	0
66	66	1
67	67	4
68	68	0
69	69	1
70	70	0
71	71	3
72	72	1
73	73	1
74	74	3
75	75	0
76	76	2
77	77	5
78	78	2
79	79	2
80	80	3
81	81	1
82	82	0
83	83	0
84	84	3
85	85	2
86	86	2
87	87	4
88	88	2
89	89	2
90	90	0
91	91	2
92	92	2
93	93	0
94	94	1
95	95	3
96	96	2
97	97	2
98	98	4
99	99	2
100	100	1
101	101	2
102	102	1
103	103	2
104	104	0
105	105	2
106	106	2
107	107	1
108	108	5
109	109	5
110	110	13
111	111	21
112	112	27
113	113	29
114	114	30
115	115	40
116	116	33
117	117	34
118	118	30
119	119	40
120	120	41
121	121	32
122	122	35
123	123	34
124	124	29
125	125	23
126	126	30
127	127	26
128	128	20
129	129	34
130	130	23
131	131	19
132	132	25
133	133	25
134	134	17
135	135	25
136	136	26
137	137	21
138	138	15
139	139	22
140	140	28
141	141	23
142	142	28
143	143	21
144	144	21
145	145	17
146	146	25
147	147	26
148	148	20
149	149	20
150	150	27
151	151	20
152	152	19
153	153	30
154	154	20
155	155	25
156	156	27
157	157	27
158	158	20
159	159	27
160	160	35
161	161	20
162	162	24
163	163	13
164	164	14
165	165	14
166	166	27
167	167	23
168	168	22
169	169	14
170	170	24
171	171	24
172	172	21
173	173	21
174	174	22
175	175	25
176	176	22
177	177	15
178	178	18
179	179	14
180	180	18
181	181	20
182	182	33
183	183	19
184	184	16
185	185	14
186	186	17
187	187	17
188	188	16
189	189	19
190	190	17
191	191	22
192	192	28
193	193	18
194	194	20
195	195	16
196	196	20
197	197	21
198	198	21
199	199	18
200	200	20
201	201	23
202	202	27
203	203	26
204	204	30
205	205	33
206	206	24
207	207	28
208	208	32
209	209	22
210	210	25
211	211	26
212	212	23
213	213	28
214	214	35
215	215	33
216	216	36
217	217	25
218	218	32
219	219	27
220	220	37
221	221	31
222	222	27
223	223	22
224	224	40
225	225	27
226	226	33
227	227	24
228	228	34
229	229	39
230	230	33
231	231	28
232	232	31
233	233	23
234	234	29
235	235	36
236	236	28
237	237	31
238	238	33
239	239	28
240	240	33
241	241	30
242	242	36
243	243	31
244	244	27
245	245	23
246	246	33
247	247	23
248	248	30
249	249	33
250	250	35
251	251	44
252	252	32
253	253	30
254	254	36
255	255	29
256	256	37
257	257	35
258	258	33
259	259	54
260	260	35
261	261	30
262	262	39
263	263	29
264	264	47
265	265	36
266	266	37
267	267	34
268	268	27
269	269	34
270	270	34
271	271	25
272	272	34
273	273	25
274	274	39
275	275	33
276	276	38
277	277	34
278	278	31
279	279	41
280	280	27
281	281	34
282	282	41
283	283	36
284	284	25
285	285	37
286	286	20
287	287	27
288	288	30
289	289	27
290	290	32
291	291	29
292	292	26
293	293	30
294	294	36
295	295	27
296	296	27
297	297	40
298	298	38
299	299	35
300	300	25
301	301	30
302	302	21
303	303	33
304	304	22
305	305	22
306	306	38
307	307	33
308	308	36
309	309	28
310	310	33
311	311	45
312	312	38
313	313	20
314	314	29
315	315	31
316	316	30
317	317	36
318	318	25
319	319	27
320	320	29
321	321	26
322	322	33
323	323	27
324	324	32
325	325	36
326	326	19
327	327	23
328	328	25
329	329	21
330	330	23
331	331	23
332	332	24
333	333	25
334	334	25
335	335	21
336	336	23
337	337	25
338	338	21
339	339	23
340	340	26
341	341	24
342	342	18
343	343	25
344	344	32
345	345	32
346	346	24
347	347	28
348	348	22
349	349	19
350	350	17
351	351	23
352	352	22
353	353	19
354	354	23
355	355	28
356	356	17
357	357	29
358	358	26
359	359	25
360	360	19
361	361	23
362	362	16
363	363	15
364	364	15
365	365	18
366	366	21
367	367	20
368	368	12
369	369	19
370	370	18
371	371	24
372	372	13
373	373	17
374	374	14
375	375	15
376	376	21
377	377	18
378	378	19
379	379	19
380	380	12
381	381	19
382	382	20
383	383	15
384	384	21
385	385	16
386	386	16
387	387	15
388	388	6
389	389	17
390	390	18
391	391	19
392	392	19
393	393	20
394	394	13
395	395	11
396	396	14
397	397	20
398	398	11
399	399	23
400	400	15
401	401	10
402	402	17
403	403	13
404	404	11
405	405	21
406	406	15
407	407	17
408	408	17
409	409	20
410	410	20
411	411	15
412	412	15
413	413	12
414	414	15
415	415	20
416	416	11
417	417	12
418	418	15
419	419	14
420	420	15
421	421	12
422	422	13
423	423	14
424	424	17
425	425	17
426	426	17
427	427	9
428	428	11
429	429	22
430	430	13
431	431	13
432	432	15
433	433	16
434	434	11
435	435	12
436	436	12
437	437	18
438	438	10
439	439	17
440	440	17
441	441	16
442	442	21
443	443	18
444	444	20
445	445	19
446	446	14
447	447	16
448	448	17
449	449	16
450	450	12
451	451	23
452	452	20
453	453	18
454	454	10
455	455	22
456	456	22
457	457	16
458	458	25
459	459	9
460	460	17
461	461	12
462	462	19
463	463	21
464	464	27
465	465	18
466	466	21
467	467	20
468	468	19
469	469	19
470	470	26
471	471	10
472	472	24
473	473	19
474	474	17
475	475	32
476	476	19
477	477	20
478	478	20
479	479	13
480	480	30
481	481	18
482	482	22
483	483	26
484	484	18
485	485	21
486	486	23
487	487	26
488	488	26
489	489	25
490	490	29
491	491	33
492	492	32
493	493	33
494	494	32
495	495	25
496	496	38
497	497	37
498	498	23
499	499	29
500	500	39
501	501	38
502	502	30
503	503	32
504	504	29
505	505	39
506	506	34
507	507	33
508	508	31
509	509	35
510	510	35
511	511	40
512	512	36
513	513	37
514	514	44
515	515	33
516	516	38
517	517	41
518	518	36
519	519	37
520	520	40
521	521	40
522	522	35
523	523	39
524	524	29
525	525	35
526	526	38
527	527	36
528	528	45
529	529	46
530	530	46
531	531	35
532	532	37
533	533	42
534	534	45
535	535	43
536	536	49
537	537	39
538	538	48
539	539	46
540	540	62
541	541	51
542	542	45
543	543	56
544	544	44
545	545	50
546	546	58
547	547	65
548	548	57
549	549	57
550	550	50
551	551	49
552	552	60
553	553	75
554	554	63
555	555	68
556	556	55
557	557	51
558	558	69
559	559	57
560	560	57
561	561	73
562	562	89
563	563	71
564	564	82
565	565	74
566	566	72
567	567	69
568	568	72
569	569	81
570	570	86
571	571	63
572	572	78
573	573	77
574	574	69
575	575	79
576	576	82
577	577	86
578	578	81
579	579	70
580	580	85
581	581	98
582	582	76
583	583	82
584	584	77
585	585	93
586	586	98
587	587	95
588	588	105
589	589	104
590	590	83
591	591	92
592	592	85
593	593	100
594	594	85
595	595	108
596	596	89
597	597	76
598	598	95
599	599	93
600	600	99
601	601	84
602	602	107
603	603	109
604	604	95
605	605	116
606	606	97
607	607	115
608	608	110
609	609	114
610	610	99
611	611	99
612	612	99
613	613	113
614	614	121
615	615	110
616	616	106
617	617	105
618	618	109
619	619	129
620	620	100
621	621	102
622	622	107
623	623	114
