Descrizione Campione: 
Inizio misura: 15-11-23 15:17:54
RealTime: 902
LiveTime: 898
N eventi: 1449812
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	1
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	1
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	1
71	71	0
72	72	1
73	73	0
74	74	0
75	75	1
76	76	0
77	77	0
78	78	1
79	79	1
80	80	0
81	81	0
82	82	0
83	83	0
84	84	2
85	85	0
86	86	0
87	87	1
88	88	5
89	89	0
90	90	2
91	91	3
92	92	3
93	93	4
94	94	2
95	95	3
96	96	0
97	97	5
98	98	6
99	99	9
100	100	6
101	101	16
102	102	15
103	103	15
104	104	16
105	105	10
106	106	14
107	107	13
108	108	21
109	109	25
110	110	31
111	111	45
112	112	56
113	113	62
114	114	97
115	115	151
116	116	202
117	117	289
118	118	384
119	119	392
120	120	474
121	121	474
122	122	503
123	123	458
124	124	503
125	125	479
126	126	471
127	127	542
128	128	607
129	129	625
130	130	670
131	131	698
132	132	744
133	133	718
134	134	799
135	135	766
136	136	778
137	137	801
138	138	787
139	139	795
140	140	836
141	141	808
142	142	865
143	143	820
144	144	860
145	145	820
146	146	866
147	147	892
148	148	839
149	149	872
150	150	871
151	151	822
152	152	860
153	153	896
154	154	856
155	155	883
156	156	884
157	157	809
158	158	837
159	159	868
160	160	836
161	161	828
162	162	795
163	163	846
164	164	792
165	165	812
166	166	807
167	167	793
168	168	771
169	169	776
170	170	731
171	171	773
172	172	710
173	173	712
174	174	668
175	175	661
176	176	643
177	177	612
178	178	618
179	179	627
180	180	595
181	181	575
182	182	569
183	183	517
184	184	486
185	185	475
186	186	476
187	187	472
188	188	426
189	189	421
190	190	409
191	191	415
192	192	414
193	193	381
194	194	371
195	195	390
196	196	357
197	197	334
198	198	295
199	199	305
200	200	317
201	201	353
202	202	336
203	203	326
204	204	318
205	205	298
206	206	293
207	207	274
208	208	275
209	209	328
210	210	270
211	211	293
212	212	266
213	213	282
214	214	262
215	215	306
216	216	252
217	217	222
218	218	282
219	219	296
220	220	264
221	221	264
222	222	217
223	223	251
224	224	247
225	225	205
226	226	251
227	227	206
228	228	232
229	229	207
230	230	193
231	231	208
232	232	217
233	233	188
234	234	185
235	235	206
236	236	179
237	237	184
238	238	195
239	239	164
240	240	178
241	241	172
242	242	158
243	243	157
244	244	175
245	245	161
246	246	168
247	247	134
248	248	143
249	249	138
250	250	128
251	251	148
252	252	134
253	253	151
254	254	114
255	255	155
256	256	145
257	257	127
258	258	108
259	259	113
260	260	118
261	261	138
262	262	113
263	263	116
264	264	135
265	265	128
266	266	111
267	267	124
268	268	114
269	269	137
270	270	124
271	271	113
272	272	106
273	273	92
274	274	117
275	275	118
276	276	115
277	277	111
278	278	118
279	279	116
280	280	116
281	281	108
282	282	111
283	283	124
284	284	94
285	285	116
286	286	124
287	287	151
288	288	109
289	289	93
290	290	101
291	291	105
292	292	103
293	293	135
294	294	120
295	295	130
296	296	127
297	297	119
298	298	129
299	299	123
300	300	114
301	301	140
302	302	156
303	303	134
304	304	145
305	305	145
306	306	129
307	307	133
308	308	112
309	309	154
310	310	147
311	311	150
312	312	143
313	313	141
314	314	138
315	315	162
316	316	135
317	317	159
318	318	161
319	319	151
320	320	139
321	321	154
322	322	152
323	323	174
324	324	138
325	325	175
326	326	186
327	327	174
328	328	183
329	329	172
330	330	184
331	331	194
332	332	184
333	333	164
334	334	188
335	335	192
336	336	212
337	337	197
338	338	184
339	339	192
340	340	226
341	341	210
342	342	199
343	343	217
344	344	231
345	345	197
346	346	201
347	347	222
348	348	205
349	349	266
350	350	242
351	351	235
352	352	240
353	353	202
354	354	242
355	355	237
356	356	250
357	357	253
358	358	257
359	359	271
360	360	244
361	361	252
362	362	251
363	363	256
364	364	279
365	365	293
366	366	281
367	367	318
368	368	340
369	369	306
370	370	298
371	371	321
372	372	305
373	373	275
374	374	304
375	375	349
376	376	303
377	377	372
378	378	315
379	379	331
380	380	326
381	381	322
382	382	332
383	383	346
384	384	362
385	385	354
386	386	354
387	387	377
388	388	374
389	389	413
390	390	362
391	391	418
392	392	398
393	393	394
394	394	345
395	395	431
396	396	427
397	397	428
398	398	425
399	399	463
400	400	459
401	401	435
402	402	455
403	403	434
404	404	461
405	405	459
406	406	449
407	407	469
408	408	469
409	409	484
410	410	476
411	411	483
412	412	471
413	413	465
414	414	511
415	415	501
416	416	517
417	417	563
418	418	542
419	419	503
420	420	551
421	421	519
422	422	519
423	423	536
424	424	549
425	425	542
426	426	588
427	427	577
428	428	563
429	429	583
430	430	565
431	431	587
432	432	590
433	433	595
434	434	595
435	435	605
436	436	643
437	437	647
438	438	611
439	439	602
440	440	608
441	441	627
442	442	665
443	443	676
444	444	617
445	445	670
446	446	615
447	447	623
448	448	683
449	449	648
450	450	686
451	451	692
452	452	672
453	453	645
454	454	668
455	455	674
456	456	654
457	457	685
458	458	692
459	459	642
460	460	750
461	461	694
462	462	732
463	463	734
464	464	745
465	465	737
466	466	733
467	467	677
468	468	730
469	469	761
470	470	711
471	471	676
472	472	726
473	473	761
474	474	783
475	475	697
476	476	768
477	477	750
478	478	762
479	479	745
480	480	750
481	481	765
482	482	736
483	483	801
484	484	788
485	485	827
486	486	791
487	487	775
488	488	780
489	489	769
490	490	771
491	491	763
492	492	785
493	493	810
494	494	843
495	495	813
496	496	812
497	497	784
498	498	758
499	499	805
500	500	769
501	501	844
502	502	807
503	503	786
504	504	832
505	505	823
506	506	843
507	507	840
508	508	822
509	509	818
510	510	803
511	511	833
512	512	805
513	513	811
514	514	816
515	515	837
516	516	773
517	517	846
518	518	822
519	519	857
520	520	806
521	521	767
522	522	786
523	523	827
524	524	809
525	525	794
526	526	777
527	527	852
528	528	802
529	529	763
530	530	833
531	531	805
532	532	816
533	533	821
534	534	819
535	535	819
536	536	834
537	537	815
538	538	886
539	539	810
540	540	814
541	541	787
542	542	794
543	543	808
544	544	821
545	545	709
546	546	777
547	547	764
548	548	821
549	549	737
550	550	816
551	551	742
552	552	794
553	553	780
554	554	802
555	555	760
556	556	797
557	557	751
558	558	752
559	559	779
560	560	709
561	561	757
562	562	780
563	563	750
564	564	751
565	565	706
566	566	742
567	567	720
568	568	714
569	569	753
570	570	759
571	571	706
572	572	770
573	573	683
574	574	710
575	575	698
576	576	710
577	577	710
578	578	713
579	579	675
580	580	690
581	581	683
582	582	656
583	583	683
584	584	688
585	585	719
586	586	653
587	587	714
588	588	655
589	589	647
590	590	681
591	591	651
592	592	636
593	593	669
594	594	648
595	595	635
596	596	634
597	597	618
598	598	619
599	599	583
600	600	618
601	601	602
602	602	604
603	603	564
604	604	602
605	605	557
606	606	558
607	607	562
608	608	559
609	609	592
610	610	555
611	611	539
612	612	596
613	613	558
614	614	535
615	615	518
616	616	514
617	617	544
618	618	534
619	619	546
620	620	506
621	621	505
622	622	526
623	623	523
