Descrizione Campione: 
Inizio misura: 23-12-23 19:28:54
RealTime: 901
LiveTime: 900
N eventi: 435107
Calibrazione: E = 0 * C^2 + 0.0231164 * C + -1.74229
Canale	Energia	Eventi
0	-1.74229	0
1	-1.71918	0
2	-1.69606	0
3	-1.67295	0
4	-1.64983	0
5	-1.62671	0
6	-1.6036	0
7	-1.58048	0
8	-1.55736	0
9	-1.53425	0
10	-1.51113	0
11	-1.48801	0
12	-1.4649	0
13	-1.44178	0
14	-1.41866	0
15	-1.39555	0
16	-1.37243	0
17	-1.34932	0
18	-1.3262	0
19	-1.30308	0
20	-1.27997	0
21	-1.25685	0
22	-1.23373	1
23	-1.21062	0
24	-1.1875	0
25	-1.16438	0
26	-1.14127	0
27	-1.11815	0
28	-1.09503	0
29	-1.07192	0
30	-1.0488	0
31	-1.02568	0
32	-1.00257	0
33	-0.979452	0
34	-0.956336	0
35	-0.933219	0
36	-0.910103	0
37	-0.886986	0
38	-0.86387	1
39	-0.840753	0
40	-0.817637	1
41	-0.794521	0
42	-0.771404	0
43	-0.748288	0
44	-0.725171	0
45	-0.702055	0
46	-0.678938	0
47	-0.655822	0
48	-0.632705	0
49	-0.609589	0
50	-0.586473	0
51	-0.563356	0
52	-0.54024	0
53	-0.517123	0
54	-0.494007	0
55	-0.47089	0
56	-0.447774	0
57	-0.424658	0
58	-0.401541	0
59	-0.378425	0
60	-0.355308	0
61	-0.332192	0
62	-0.309075	0
63	-0.285959	0
64	-0.262842	0
65	-0.239726	1
66	-0.21661	0
67	-0.193493	0
68	-0.170377	0
69	-0.14726	0
70	-0.124144	0
71	-0.101027	0
72	-0.077911	0
73	-0.0547945	0
74	-0.0316781	0
75	-0.00856164	0
76	0.0145548	0
77	0.0376712	0
78	0.0607877	0
79	0.0839041	0
80	0.107021	2
81	0.130137	0
82	0.153253	0
83	0.17637	0
84	0.199486	0
85	0.222603	0
86	0.245719	1
87	0.268836	0
88	0.291952	0
89	0.315068	1
90	0.338185	0
91	0.361301	0
92	0.384418	0
93	0.407534	0
94	0.430651	0
95	0.453767	0
96	0.476884	0
97	0.5	0
98	0.523116	0
99	0.546233	0
100	0.569349	0
101	0.592466	0
102	0.615582	0
103	0.638699	0
104	0.661815	0
105	0.684932	0
106	0.708048	0
107	0.731164	3
108	0.754281	1
109	0.777397	1
110	0.800514	1
111	0.82363	0
112	0.846747	0
113	0.869863	0
114	0.892979	0
115	0.916096	1
116	0.939212	1
117	0.962329	0
118	0.985445	0
119	1.00856	0
120	1.03168	1
121	1.05479	0
122	1.07791	0
123	1.10103	0
124	1.12414	0
125	1.14726	0
126	1.17038	0
127	1.19349	0
128	1.21661	0
129	1.23973	0
130	1.26284	0
131	1.28596	0
132	1.30908	1
133	1.33219	0
134	1.35531	0
135	1.37842	0
136	1.40154	0
137	1.42466	0
138	1.44777	1
139	1.47089	1
140	1.49401	0
141	1.51712	0
142	1.54024	0
143	1.56336	0
144	1.58647	0
145	1.60959	0
146	1.63271	0
147	1.65582	0
148	1.67894	0
149	1.70205	0
150	1.72517	0
151	1.74829	0
152	1.7714	0
153	1.79452	0
154	1.81764	0
155	1.84075	0
156	1.86387	0
157	1.88699	1
158	1.9101	0
159	1.93322	0
160	1.95634	0
161	1.97945	1
162	2.00257	0
163	2.02568	0
164	2.0488	0
165	2.07192	0
166	2.09503	0
167	2.11815	0
168	2.14127	1
169	2.16438	0
170	2.1875	1
171	2.21062	2
172	2.23373	1
173	2.25685	1
174	2.27997	0
175	2.30308	0
176	2.3262	2
177	2.34932	1
178	2.37243	2
179	2.39555	1
180	2.41866	2
181	2.44178	3
182	2.4649	1
183	2.48801	1
184	2.51113	2
185	2.53425	0
186	2.55736	2
187	2.58048	2
188	2.6036	1
189	2.62671	1
190	2.64983	1
191	2.67295	3
192	2.69606	2
193	2.71918	3
194	2.74229	1
195	2.76541	1
196	2.78853	0
197	2.81164	2
198	2.83476	1
199	2.85788	2
200	2.88099	1
201	2.90411	4
202	2.92723	2
203	2.95034	1
204	2.97346	3
205	2.99658	3
206	3.01969	1
207	3.04281	4
208	3.06592	0
209	3.08904	2
210	3.11216	5
211	3.13527	0
212	3.15839	1
213	3.18151	0
214	3.20462	1
215	3.22774	1
216	3.25086	1
217	3.27397	1
218	3.29709	1
219	3.32021	2
220	3.34332	1
221	3.36644	1
222	3.38955	1
223	3.41267	0
224	3.43579	0
225	3.4589	0
226	3.48202	1
227	3.50514	0
228	3.52825	1
229	3.55137	1
230	3.57449	0
231	3.5976	1
232	3.62072	1
233	3.64384	0
234	3.66695	0
235	3.69007	4
236	3.71318	16
237	3.7363	23
238	3.75942	21
239	3.78253	30
240	3.80565	20
241	3.82877	33
242	3.85188	28
243	3.875	23
244	3.89812	22
245	3.92123	22
246	3.94435	26
247	3.96747	26
248	3.99058	22
249	4.0137	26
250	4.03682	17
251	4.05993	24
252	4.08305	24
253	4.10616	24
254	4.12928	25
255	4.1524	35
256	4.17551	32
257	4.19863	25
258	4.22175	21
259	4.24486	21
260	4.26798	21
261	4.2911	27
262	4.31421	24
263	4.33733	28
264	4.36045	18
265	4.38356	21
266	4.40668	33
267	4.42979	26
268	4.45291	21
269	4.47603	29
270	4.49914	26
271	4.52226	19
272	4.54538	22
273	4.56849	29
274	4.59161	28
275	4.61473	20
276	4.63784	26
277	4.66096	26
278	4.68408	27
279	4.70719	40
280	4.73031	26
281	4.75342	22
282	4.77654	23
283	4.79966	29
284	4.82277	23
285	4.84589	21
286	4.86901	32
287	4.89212	16
288	4.91524	29
289	4.93836	27
290	4.96147	31
291	4.98459	30
292	5.00771	30
293	5.03082	21
294	5.05394	30
295	5.07705	29
296	5.10017	34
297	5.12329	24
298	5.1464	25
299	5.16952	26
300	5.19264	29
301	5.21575	25
302	5.23887	24
303	5.26199	26
304	5.2851	21
305	5.30822	18
306	5.33134	33
307	5.35445	28
308	5.37757	21
309	5.40068	27
310	5.4238	25
311	5.44692	27
312	5.47003	26
313	5.49315	28
314	5.51627	21
315	5.53938	22
316	5.5625	27
317	5.58562	29
318	5.60873	37
319	5.63185	27
320	5.65497	27
321	5.67808	20
322	5.7012	22
323	5.72432	19
324	5.74743	23
325	5.77055	28
326	5.79366	31
327	5.81678	22
328	5.8399	16
329	5.86301	21
330	5.88613	27
331	5.90925	28
332	5.93236	21
333	5.95548	21
334	5.9786	30
335	6.00171	19
336	6.02483	25
337	6.04795	20
338	6.07106	26
339	6.09418	17
340	6.11729	15
341	6.14041	17
342	6.16353	23
343	6.18664	28
344	6.20976	34
345	6.23288	28
346	6.25599	17
347	6.27911	18
348	6.30223	23
349	6.32534	30
350	6.34846	25
351	6.37158	20
352	6.39469	28
353	6.41781	18
354	6.44092	21
355	6.46404	15
356	6.48716	31
357	6.51027	21
358	6.53339	20
359	6.55651	20
360	6.57962	21
361	6.60274	23
362	6.62586	30
363	6.64897	27
364	6.67209	25
365	6.69521	22
366	6.71832	32
367	6.74144	17
368	6.76455	21
369	6.78767	21
370	6.81079	17
371	6.8339	20
372	6.85702	27
373	6.88014	28
374	6.90325	24
375	6.92637	20
376	6.94949	27
377	6.9726	26
378	6.99572	30
379	7.01884	15
380	7.04195	22
381	7.06507	16
382	7.08818	26
383	7.1113	21
384	7.13442	20
385	7.15753	22
386	7.18065	32
387	7.20377	27
388	7.22688	23
389	7.25	26
390	7.27312	17
391	7.29623	9
392	7.31935	19
393	7.34247	21
394	7.36558	21
395	7.3887	18
396	7.41182	21
397	7.43493	23
398	7.45805	24
399	7.48116	24
400	7.50428	21
401	7.5274	15
402	7.55051	22
403	7.57363	26
404	7.59675	20
405	7.61986	17
406	7.64298	18
407	7.6661	26
408	7.68921	20
409	7.71233	17
410	7.73545	17
411	7.75856	10
412	7.78168	26
413	7.80479	24
414	7.82791	18
415	7.85103	27
416	7.87414	30
417	7.89726	19
418	7.92038	26
419	7.94349	25
420	7.96661	30
421	7.98973	32
422	8.01284	25
423	8.03596	20
424	8.05908	17
425	8.08219	17
426	8.10531	23
427	8.12842	26
428	8.15154	26
429	8.17466	30
430	8.19777	25
431	8.22089	30
432	8.24401	23
433	8.26712	20
434	8.29024	21
435	8.31336	19
436	8.33647	19
437	8.35959	33
438	8.38271	21
439	8.40582	16
440	8.42894	26
441	8.45205	26
442	8.47517	21
443	8.49829	21
444	8.5214	19
445	8.54452	29
446	8.56764	28
447	8.59075	23
448	8.61387	31
449	8.63699	22
450	8.6601	28
451	8.68322	26
452	8.70634	26
453	8.72945	27
454	8.75257	23
455	8.77568	36
456	8.7988	28
457	8.82192	22
458	8.84503	24
459	8.86815	31
460	8.89127	26
461	8.91438	20
462	8.9375	29
463	8.96062	27
464	8.98373	32
465	9.00685	32
466	9.02997	36
467	9.05308	31
468	9.0762	30
469	9.09932	27
470	9.12243	26
471	9.14555	34
472	9.16866	38
473	9.19178	38
474	9.2149	25
475	9.23801	34
476	9.26113	32
477	9.28425	32
478	9.30736	30
479	9.33048	27
480	9.3536	34
481	9.37671	39
482	9.39983	36
483	9.42295	30
484	9.44606	42
485	9.46918	39
486	9.49229	32
487	9.51541	34
488	9.53853	47
489	9.56164	28
490	9.58476	43
491	9.60788	45
492	9.63099	40
493	9.65411	34
494	9.67723	44
495	9.70034	39
496	9.72346	40
497	9.74658	30
498	9.76969	35
499	9.79281	45
500	9.81592	39
501	9.83904	42
502	9.86216	37
503	9.88527	40
504	9.90839	43
505	9.93151	58
506	9.95462	47
507	9.97774	44
508	10.0009	47
509	10.024	47
510	10.0471	50
511	10.0702	70
512	10.0933	40
513	10.1164	64
514	10.1396	53
515	10.1627	50
516	10.1858	55
517	10.2089	52
518	10.232	59
519	10.2551	50
520	10.2783	64
521	10.3014	44
522	10.3245	66
523	10.3476	68
524	10.3707	51
525	10.3938	56
526	10.417	59
527	10.4401	52
528	10.4632	60
529	10.4863	60
530	10.5094	58
531	10.5325	66
532	10.5557	65
533	10.5788	73
534	10.6019	71
535	10.625	81
536	10.6481	61
537	10.6712	73
538	10.6943	69
539	10.7175	75
540	10.7406	79
541	10.7637	96
542	10.7868	80
543	10.8099	65
544	10.833	83
545	10.8562	78
546	10.8793	104
547	10.9024	83
548	10.9255	63
549	10.9486	85
550	10.9717	79
551	10.9949	93
552	11.018	86
553	11.0411	93
554	11.0642	85
555	11.0873	88
556	11.1104	97
557	11.1336	85
558	11.1567	101
559	11.1798	93
560	11.2029	108
561	11.226	96
562	11.2491	103
563	11.2723	96
564	11.2954	91
565	11.3185	103
566	11.3416	104
567	11.3647	112
568	11.3878	123
569	11.411	101
570	11.4341	96
571	11.4572	114
572	11.4803	107
573	11.5034	96
574	11.5265	121
575	11.5497	129
576	11.5728	125
577	11.5959	131
578	11.619	99
579	11.6421	124
580	11.6652	129
581	11.6884	125
582	11.7115	130
583	11.7346	138
584	11.7577	142
585	11.7808	123
586	11.8039	151
587	11.8271	136
588	11.8502	126
589	11.8733	163
590	11.8964	123
591	11.9195	135
592	11.9426	141
593	11.9658	178
594	11.9889	139
595	12.012	139
596	12.0351	158
597	12.0582	154
598	12.0813	139
599	12.1045	158
600	12.1276	150
601	12.1507	139
602	12.1738	153
603	12.1969	141
