Descrizione Campione: 
Inizio misura: 21-02-24 17:23:15
RealTime: 595899
LiveTime: 595896
N eventi: 1084604
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	0
71	71	0
72	72	0
73	73	0
74	74	0
75	75	0
76	76	0
77	77	0
78	78	0
79	79	0
80	80	0
81	81	0
82	82	0
83	83	0
84	84	0
85	85	0
86	86	0
87	87	0
88	88	0
89	89	0
90	90	0
91	91	0
92	92	0
93	93	0
94	94	0
95	95	0
96	96	0
97	97	0
98	98	0
99	99	0
100	100	0
101	101	0
102	102	0
103	103	0
104	104	0
105	105	0
106	106	0
107	107	0
108	108	0
109	109	0
110	110	0
111	111	0
112	112	0
113	113	0
114	114	0
115	115	0
116	116	0
117	117	0
118	118	0
119	119	0
120	120	0
121	121	0
122	122	0
123	123	0
124	124	0
125	125	0
126	126	0
127	127	0
128	128	0
129	129	0
130	130	0
131	131	0
132	132	0
133	133	0
134	134	0
135	135	0
136	136	0
137	137	0
138	138	0
139	139	0
140	140	0
141	141	0
142	142	0
143	143	0
144	144	0
145	145	0
146	146	0
147	147	0
148	148	0
149	149	0
150	150	0
151	151	0
152	152	0
153	153	0
154	154	0
155	155	0
156	156	0
157	157	0
158	158	0
159	159	0
160	160	0
161	161	0
162	162	0
163	163	0
164	164	0
165	165	0
166	166	0
167	167	0
168	168	0
169	169	0
170	170	0
171	171	0
172	172	0
173	173	0
174	174	0
175	175	0
176	176	0
177	177	0
178	178	0
179	179	0
180	180	0
181	181	0
182	182	0
183	183	0
184	184	0
185	185	0
186	186	0
187	187	0
188	188	0
189	189	0
190	190	0
191	191	0
192	192	0
193	193	0
194	194	0
195	195	0
196	196	0
197	197	0
198	198	0
199	199	0
200	200	0
201	201	0
202	202	0
203	203	0
204	204	0
205	205	0
206	206	0
207	207	0
208	208	0
209	209	0
210	210	3
211	211	4
212	212	3
213	213	12
214	214	11
215	215	23
216	216	15
217	217	17
218	218	20
219	219	13
220	220	18
221	221	23
222	222	22
223	223	25
224	224	24
225	225	27
226	226	15
227	227	31
228	228	16
229	229	20
230	230	24
231	231	24
232	232	24
233	233	17
234	234	24
235	235	28
236	236	20
237	237	19
238	238	21
239	239	17
240	240	22
241	241	17
242	242	24
243	243	19
244	244	18
245	245	29
246	246	20
247	247	23
248	248	17
249	249	21
250	250	11
251	251	34
252	252	29
253	253	16
254	254	25
255	255	21
256	256	20
257	257	20
258	258	23
259	259	16
260	260	18
261	261	19
262	262	21
263	263	22
264	264	16
265	265	21
266	266	26
267	267	13
268	268	21
269	269	28
270	270	25
271	271	27
272	272	27
273	273	34
274	274	28
275	275	22
276	276	23
277	277	29
278	278	18
279	279	23
280	280	22
281	281	22
282	282	26
283	283	30
284	284	23
285	285	35
286	286	23
287	287	27
288	288	24
289	289	22
290	290	17
291	291	17
292	292	19
293	293	27
294	294	28
295	295	28
296	296	19
297	297	20
298	298	28
299	299	27
300	300	30
301	301	23
302	302	30
303	303	25
304	304	17
305	305	27
306	306	15
307	307	21
308	308	29
309	309	24
310	310	21
311	311	29
312	312	27
313	313	24
314	314	30
315	315	24
316	316	29
317	317	27
318	318	25
319	319	18
320	320	22
321	321	28
322	322	20
323	323	27
324	324	25
325	325	27
326	326	23
327	327	17
328	328	23
329	329	26
330	330	25
331	331	28
332	332	19
333	333	15
334	334	18
335	335	19
336	336	32
337	337	26
338	338	26
339	339	21
340	340	22
341	341	25
342	342	15
343	343	25
344	344	26
345	345	23
346	346	25
347	347	28
348	348	23
349	349	17
350	350	30
351	351	27
352	352	26
353	353	28
354	354	29
355	355	30
356	356	28
357	357	29
358	358	26
359	359	32
360	360	28
361	361	16
362	362	27
363	363	33
364	364	28
365	365	25
366	366	31
367	367	25
368	368	27
369	369	19
370	370	23
371	371	25
372	372	29
373	373	27
374	374	10
375	375	34
376	376	24
377	377	24
378	378	21
379	379	24
380	380	33
381	381	35
382	382	30
383	383	35
384	384	34
385	385	28
386	386	38
387	387	33
388	388	32
389	389	17
390	390	29
391	391	25
392	392	40
393	393	17
394	394	17
395	395	37
396	396	14
397	397	26
398	398	33
399	399	31
400	400	34
401	401	26
402	402	26
403	403	43
404	404	22
405	405	37
406	406	22
407	407	28
408	408	22
409	409	16
410	410	32
411	411	31
412	412	25
413	413	33
414	414	37
415	415	37
416	416	29
417	417	41
418	418	30
419	419	20
420	420	39
421	421	31
422	422	33
423	423	21
424	424	26
425	425	38
426	426	35
427	427	35
428	428	39
429	429	30
430	430	32
431	431	36
432	432	26
433	433	44
434	434	23
435	435	32
436	436	36
437	437	29
438	438	27
439	439	37
440	440	23
441	441	34
442	442	37
443	443	34
444	444	41
445	445	21
446	446	36
447	447	23
448	448	35
449	449	41
450	450	39
451	451	38
452	452	36
453	453	29
454	454	39
455	455	36
456	456	33
457	457	41
458	458	34
459	459	37
460	460	26
461	461	35
462	462	27
463	463	44
464	464	47
465	465	30
466	466	48
467	467	33
468	468	41
469	469	34
470	470	44
471	471	37
472	472	34
473	473	30
474	474	41
475	475	33
476	476	40
477	477	39
478	478	37
479	479	28
480	480	42
481	481	39
482	482	43
483	483	40
484	484	35
485	485	37
486	486	33
487	487	34
488	488	45
489	489	50
490	490	37
491	491	35
492	492	39
493	493	39
494	494	35
495	495	44
496	496	45
497	497	35
498	498	36
499	499	42
500	500	43
501	501	39
502	502	30
503	503	30
504	504	46
505	505	29
506	506	34
507	507	40
508	508	28
509	509	49
510	510	36
511	511	37
512	512	55
513	513	43
514	514	36
515	515	38
516	516	47
517	517	40
518	518	45
519	519	48
520	520	37
521	521	46
522	522	53
523	523	42
524	524	56
525	525	45
526	526	47
527	527	39
528	528	35
529	529	57
530	530	32
531	531	47
532	532	48
533	533	59
534	534	46
535	535	52
536	536	48
537	537	55
538	538	51
539	539	51
540	540	51
541	541	38
542	542	56
543	543	55
544	544	47
545	545	41
546	546	56
547	547	47
548	548	45
549	549	49
550	550	52
551	551	38
552	552	53
553	553	52
554	554	63
555	555	40
556	556	50
557	557	36
558	558	43
559	559	43
560	560	46
561	561	46
562	562	51
563	563	50
564	564	50
565	565	46
566	566	65
567	567	58
568	568	48
569	569	51
570	570	55
571	571	70
572	572	47
573	573	45
574	574	56
575	575	50
576	576	55
577	577	59
578	578	41
579	579	57
580	580	57
581	581	52
582	582	64
583	583	44
584	584	49
585	585	72
586	586	61
587	587	53
588	588	57
589	589	62
590	590	74
591	591	65
592	592	53
593	593	56
594	594	39
595	595	66
596	596	49
597	597	58
598	598	55
599	599	69
600	600	58
601	601	55
602	602	72
603	603	49
604	604	62
605	605	66
606	606	56
607	607	63
608	608	40
609	609	56
610	610	55
611	611	61
612	612	50
613	613	65
614	614	70
615	615	82
616	616	58
617	617	55
618	618	59
619	619	58
620	620	57
621	621	67
622	622	70
623	623	61
