Descrizione Campione: 55.1
Inizio misura: 29-05-24 14:44:50
RealTime: 3598
LiveTime: 3581
N eventi: 6061094
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	1
47	47	0
48	48	3
49	49	1
50	50	3
51	51	6
52	52	6
53	53	15
54	54	27
55	55	61
56	56	110
57	57	230
58	58	418
59	59	622
60	60	657
61	61	557
62	62	388
63	63	323
64	64	266
65	65	253
66	66	272
67	67	276
68	68	275
69	69	304
70	70	322
71	71	353
72	72	397
73	73	396
74	74	419
75	75	471
76	76	571
77	77	560
78	78	513
79	79	476
80	80	305
81	81	241
82	82	181
83	83	161
84	84	178
85	85	155
86	86	168
87	87	160
88	88	131
89	89	123
90	90	128
91	91	124
92	92	116
93	93	113
94	94	119
95	95	107
96	96	90
97	97	130
98	98	142
99	99	183
100	100	222
101	101	226
102	102	293
103	103	435
104	104	618
105	105	1009
106	106	1406
107	107	1610
108	108	1397
109	109	1247
110	110	1119
111	111	1052
112	112	1035
113	113	997
114	114	1111
115	115	1156
116	116	1128
117	117	1164
118	118	1146
119	119	1137
120	120	1071
121	121	1029
122	122	1012
123	123	923
124	124	906
125	125	877
126	126	740
127	127	675
128	128	629
129	129	534
130	130	454
131	131	437
132	132	432
133	133	381
134	134	400
135	135	329
136	136	335
137	137	313
138	138	335
139	139	327
140	140	326
141	141	334
142	142	317
143	143	356
144	144	342
145	145	324
146	146	347
147	147	308
148	148	332
149	149	357
150	150	282
151	151	327
152	152	319
153	153	367
154	154	367
155	155	341
156	156	393
157	157	429
158	158	434
159	159	477
160	160	467
161	161	548
162	162	559
163	163	594
164	164	649
165	165	698
166	166	685
167	167	842
168	168	876
169	169	948
170	170	1027
171	171	1015
172	172	1073
173	173	1063
174	174	1031
175	175	1108
176	176	1055
177	177	1085
178	178	1077
179	179	1080
180	180	972
181	181	1012
182	182	990
183	183	974
184	184	950
185	185	944
186	186	907
187	187	928
188	188	935
189	189	989
190	190	971
191	191	1004
192	192	1020
193	193	1074
194	194	1037
195	195	1064
196	196	981
197	197	1023
198	198	1057
199	199	980
200	200	999
201	201	945
202	202	987
203	203	1030
204	204	976
205	205	1037
206	206	1079
207	207	1096
208	208	1043
209	209	1033
210	210	1085
211	211	1049
212	212	1101
213	213	1055
214	214	1052
215	215	1111
216	216	1070
217	217	1072
218	218	1175
219	219	1046
220	220	1101
221	221	1118
222	222	1152
223	223	1147
224	224	1148
225	225	1170
226	226	1150
227	227	1177
228	228	1129
229	229	1160
230	230	1215
231	231	1147
232	232	1216
233	233	1204
234	234	1194
235	235	1161
236	236	1171
237	237	1188
238	238	1184
239	239	1216
240	240	1247
241	241	1322
242	242	1282
243	243	1237
244	244	1336
245	245	1254
246	246	1314
247	247	1253
248	248	1343
249	249	1236
250	250	1339
251	251	1288
252	252	1311
253	253	1320
254	254	1308
255	255	1303
256	256	1311
257	257	1354
258	258	1253
259	259	1367
260	260	1337
261	261	1324
262	262	1320
263	263	1331
264	264	1353
265	265	1360
266	266	1363
267	267	1356
268	268	1429
269	269	1440
270	270	1304
271	271	1427
272	272	1394
273	273	1374
274	274	1424
275	275	1384
276	276	1382
277	277	1389
278	278	1405
279	279	1432
280	280	1477
281	281	1474
282	282	1358
283	283	1441
284	284	1473
285	285	1414
286	286	1429
287	287	1480
288	288	1449
289	289	1438
290	290	1471
291	291	1381
292	292	1445
293	293	1490
294	294	1511
295	295	1402
296	296	1456
297	297	1421
298	298	1500
299	299	1562
300	300	1476
301	301	1409
302	302	1477
303	303	1477
304	304	1469
305	305	1426
306	306	1462
307	307	1387
308	308	1488
309	309	1533
310	310	1497
311	311	1455
312	312	1501
313	313	1445
314	314	1471
315	315	1415
316	316	1470
317	317	1519
318	318	1478
319	319	1421
320	320	1467
321	321	1383
322	322	1449
323	323	1486
324	324	1444
325	325	1380
326	326	1408
327	327	1409
328	328	1446
329	329	1353
330	330	1454
331	331	1480
332	332	1452
333	333	1435
334	334	1438
335	335	1414
336	336	1416
337	337	1421
338	338	1372
339	339	1343
340	340	1355
341	341	1372
342	342	1330
343	343	1363
344	344	1340
345	345	1327
346	346	1340
347	347	1359
348	348	1353
349	349	1401
350	350	1383
351	351	1315
352	352	1332
353	353	1289
354	354	1290
355	355	1320
356	356	1337
357	357	1232
358	358	1278
359	359	1262
360	360	1261
361	361	1291
362	362	1216
363	363	1281
364	364	1262
365	365	1273
366	366	1231
367	367	1213
368	368	1204
369	369	1176
370	370	1224
371	371	1205
372	372	1249
373	373	1239
374	374	1199
375	375	1175
376	376	1160
377	377	1185
378	378	1178
379	379	1139
380	380	1179
381	381	1126
382	382	1140
383	383	1127
384	384	1146
385	385	1143
386	386	1099
387	387	1036
388	388	1065
389	389	1097
390	390	1077
391	391	1060
392	392	1069
393	393	1069
394	394	1088
395	395	1054
396	396	1053
397	397	1052
398	398	1015
399	399	1039
400	400	1024
401	401	997
402	402	987
403	403	980
404	404	916
405	405	970
406	406	992
407	407	967
408	408	1026
409	409	1001
410	410	928
411	411	951
412	412	968
413	413	948
414	414	971
415	415	928
416	416	925
417	417	887
418	418	852
419	419	845
420	420	870
421	421	946
422	422	935
423	423	865
424	424	843
425	425	824
426	426	866
427	427	859
428	428	845
429	429	856
430	430	797
431	431	848
432	432	797
433	433	783
434	434	754
435	435	802
436	436	766
437	437	697
438	438	812
439	439	834
440	440	730
441	441	746
442	442	707
443	443	687
444	444	683
445	445	690
446	446	718
447	447	764
448	448	717
449	449	670
450	450	744
451	451	635
452	452	687
453	453	675
454	454	697
455	455	647
456	456	687
457	457	646
458	458	634
459	459	624
460	460	650
461	461	665
462	462	637
463	463	613
464	464	645
465	465	611
466	466	615
467	467	603
468	468	586
469	469	595
470	470	646
471	471	581
472	472	576
473	473	550
474	474	548
475	475	561
476	476	574
477	477	549
478	478	539
479	479	574
480	480	553
481	481	517
482	482	538
483	483	481
484	484	524
485	485	508
486	486	535
487	487	453
488	488	494
489	489	441
490	490	505
491	491	515
492	492	543
493	493	460
494	494	494
495	495	490
496	496	490
497	497	490
498	498	457
499	499	462
500	500	446
501	501	414
502	502	442
503	503	417
504	504	407
505	505	452
506	506	425
507	507	433
508	508	399
509	509	398
510	510	360
511	511	391
512	512	373
513	513	401
514	514	390
515	515	374
516	516	380
517	517	383
518	518	384
519	519	381
520	520	391
521	521	343
522	522	380
523	523	344
524	524	346
525	525	378
526	526	361
527	527	359
528	528	377
529	529	324
530	530	358
531	531	303
532	532	346
533	533	335
534	534	355
535	535	314
536	536	325
537	537	336
538	538	334
539	539	316
540	540	298
541	541	315
542	542	323
543	543	299
544	544	310
545	545	304
546	546	297
547	547	259
548	548	307
549	549	285
550	550	296
551	551	300
552	552	297
553	553	334
554	554	285
555	555	286
556	556	253
557	557	280
558	558	260
559	559	286
560	560	273
561	561	272
562	562	255
563	563	274
564	564	255
565	565	268
566	566	277
567	567	277
568	568	270
569	569	253
570	570	253
571	571	275
572	572	278
573	573	239
574	574	252
575	575	251
576	576	258
577	577	222
578	578	227
579	579	234
580	580	227
581	581	245
582	582	227
583	583	232
