Descrizione Campione: 
Inizio misura: 03-06-24 13:35:39
RealTime: 43202
LiveTime: 43201
N eventi: 144460
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	0
71	71	0
72	72	0
73	73	0
74	74	0
75	75	0
76	76	0
77	77	0
78	78	0
79	79	0
80	80	0
81	81	0
82	82	0
83	83	0
84	84	0
85	85	0
86	86	0
87	87	0
88	88	0
89	89	0
90	90	0
91	91	0
92	92	0
93	93	0
94	94	0
95	95	0
96	96	0
97	97	0
98	98	0
99	99	0
100	100	0
101	101	0
102	102	0
103	103	0
104	104	0
105	105	0
106	106	0
107	107	0
108	108	0
109	109	0
110	110	0
111	111	1
112	112	0
113	113	0
114	114	0
115	115	0
116	116	0
117	117	0
118	118	0
119	119	0
120	120	0
121	121	0
122	122	0
123	123	0
124	124	0
125	125	0
126	126	0
127	127	0
128	128	0
129	129	0
130	130	0
131	131	0
132	132	0
133	133	0
134	134	0
135	135	0
136	136	0
137	137	0
138	138	0
139	139	0
140	140	0
141	141	0
142	142	0
143	143	0
144	144	0
145	145	0
146	146	1
147	147	0
148	148	2
149	149	5
150	150	49
151	151	305
152	152	527
153	153	784
154	154	1434
155	155	2929
156	156	4395
157	157	4881
158	158	4792
159	159	4382
160	160	3578
161	161	2645
162	162	2018
163	163	1484
164	164	1215
165	165	1367
166	166	1485
167	167	1154
168	168	571
169	169	248
170	170	168
171	171	153
172	172	193
173	173	213
174	174	213
175	175	164
176	176	126
177	177	73
178	178	62
179	179	64
180	180	57
181	181	49
182	182	31
183	183	60
184	184	44
185	185	45
186	186	45
187	187	45
188	188	43
189	189	40
190	190	43
191	191	32
192	192	42
193	193	42
194	194	40
195	195	37
196	196	44
197	197	32
198	198	31
199	199	37
200	200	37
201	201	30
202	202	35
203	203	28
204	204	34
205	205	43
206	206	37
207	207	27
208	208	40
209	209	49
210	210	34
211	211	34
212	212	38
213	213	42
214	214	20
215	215	26
216	216	31
217	217	20
218	218	29
219	219	34
220	220	34
221	221	30
222	222	28
223	223	31
224	224	34
225	225	29
226	226	34
227	227	27
228	228	30
229	229	30
230	230	19
231	231	36
232	232	28
233	233	25
234	234	32
235	235	38
236	236	29
237	237	16
238	238	21
239	239	38
240	240	19
241	241	13
242	242	32
243	243	29
244	244	27
245	245	33
246	246	27
247	247	16
248	248	21
249	249	27
250	250	28
251	251	29
252	252	28
253	253	19
254	254	23
255	255	21
256	256	30
257	257	26
258	258	21
259	259	21
260	260	19
261	261	32
262	262	24
263	263	19
264	264	19
265	265	20
266	266	23
267	267	25
268	268	29
269	269	25
270	270	29
271	271	26
272	272	23
273	273	21
274	274	24
275	275	23
276	276	24
277	277	36
278	278	19
279	279	24
280	280	26
281	281	19
282	282	23
283	283	26
284	284	29
285	285	20
286	286	24
287	287	25
288	288	21
289	289	16
290	290	20
291	291	27
292	292	22
293	293	19
294	294	25
295	295	25
296	296	17
297	297	20
298	298	20
299	299	20
300	300	27
301	301	21
302	302	20
303	303	16
304	304	18
305	305	21
306	306	24
307	307	16
308	308	21
309	309	21
310	310	21
311	311	21
312	312	20
313	313	19
314	314	27
315	315	22
316	316	24
317	317	24
318	318	25
319	319	21
320	320	33
321	321	22
322	322	36
323	323	22
324	324	32
325	325	21
326	326	24
327	327	27
328	328	27
329	329	22
330	330	31
331	331	23
332	332	31
333	333	25
334	334	17
335	335	24
336	336	29
337	337	29
338	338	27
339	339	37
340	340	19
341	341	21
342	342	25
343	343	28
344	344	33
345	345	34
346	346	30
347	347	24
348	348	27
349	349	24
350	350	32
351	351	33
352	352	37
353	353	30
354	354	37
355	355	24
356	356	35
357	357	35
358	358	29
359	359	34
360	360	34
361	361	25
362	362	30
363	363	22
364	364	35
365	365	26
366	366	35
367	367	26
368	368	24
369	369	31
370	370	30
371	371	29
372	372	35
373	373	26
374	374	27
375	375	28
376	376	26
377	377	35
378	378	32
379	379	37
380	380	27
381	381	36
382	382	28
383	383	34
384	384	46
385	385	34
386	386	29
387	387	37
388	388	25
389	389	41
390	390	30
391	391	28
392	392	36
393	393	39
394	394	32
395	395	32
396	396	34
397	397	31
398	398	32
399	399	35
400	400	30
401	401	25
402	402	24
403	403	29
404	404	27
405	405	33
406	406	33
407	407	40
408	408	32
409	409	39
410	410	34
411	411	31
412	412	39
413	413	39
414	414	34
415	415	25
416	416	39
417	417	38
418	418	28
419	419	45
420	420	32
421	421	34
422	422	33
423	423	34
424	424	41
425	425	39
426	426	26
427	427	34
428	428	34
429	429	34
430	430	32
431	431	24
432	432	35
433	433	27
434	434	36
435	435	30
436	436	30
437	437	28
438	438	19
439	439	36
440	440	43
441	441	33
442	442	39
443	443	29
444	444	28
445	445	30
446	446	23
447	447	34
448	448	27
449	449	34
450	450	37
451	451	29
452	452	32
453	453	28
454	454	36
455	455	33
456	456	31
457	457	38
458	458	45
459	459	37
460	460	26
461	461	32
462	462	25
463	463	35
464	464	31
465	465	32
466	466	32
467	467	28
468	468	22
469	469	53
470	470	30
471	471	38
472	472	31
473	473	22
474	474	34
475	475	33
476	476	31
477	477	31
478	478	24
479	479	31
480	480	29
481	481	31
482	482	15
483	483	24
484	484	30
485	485	29
486	486	34
487	487	32
488	488	29
489	489	24
490	490	24
491	491	23
492	492	24
493	493	31
494	494	26
495	495	24
496	496	28
497	497	29
498	498	34
499	499	27
500	500	28
501	501	21
502	502	40
503	503	24
504	504	18
505	505	32
506	506	19
507	507	23
508	508	29
509	509	25
510	510	33
511	511	32
512	512	28
513	513	30
514	514	24
515	515	21
516	516	27
517	517	39
518	518	30
519	519	32
520	520	30
521	521	31
522	522	33
523	523	32
524	524	29
525	525	32
526	526	26
527	527	28
528	528	27
529	529	30
530	530	30
531	531	34
532	532	34
533	533	24
534	534	24
535	535	23
536	536	29
537	537	32
538	538	23
539	539	23
540	540	16
541	541	29
542	542	26
543	543	26
544	544	21
545	545	28
546	546	36
547	547	32
548	548	21
549	549	28
550	550	32
551	551	20
552	552	25
553	553	28
554	554	25
555	555	28
556	556	26
557	557	28
558	558	28
559	559	29
560	560	18
561	561	19
562	562	20
563	563	24
564	564	26
565	565	26
566	566	28
567	567	25
568	568	19
569	569	22
570	570	36
571	571	25
572	572	26
573	573	23
574	574	30
575	575	24
576	576	29
577	577	23
578	578	22
579	579	29
580	580	24
581	581	19
582	582	17
583	583	19
584	584	31
585	585	26
586	586	23
587	587	27
588	588	31
589	589	20
590	590	19
591	591	30
592	592	15
593	593	35
594	594	23
595	595	29
596	596	18
597	597	21
598	598	22
599	599	35
600	600	28
601	601	21
602	602	20
603	603	19
604	604	23
605	605	20
606	606	24
607	607	20
608	608	16
609	609	26
610	610	25
611	611	19
612	612	26
613	613	23
614	614	26
615	615	29
616	616	35
617	617	16
618	618	27
619	619	18
620	620	22
621	621	26
