Descrizione Campione: 
Inizio misura: 23-05-24 11:14:16
RealTime: 344133
LiveTime: 342411
N eventi: 593790583
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	1
3	3	0
4	4	0
5	5	1
6	6	0
7	7	2
8	8	0
9	9	0
10	10	1
11	11	0
12	12	0
13	13	1
14	14	0
15	15	1
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	1
28	28	0
29	29	2
30	30	0
31	31	0
32	32	2
33	33	0
34	34	0
35	35	4
36	36	7
37	37	4
38	38	5
39	39	17
40	40	22
41	41	33
42	42	53
43	43	52
44	44	91
45	45	117
46	46	180
47	47	254
48	48	386
49	49	586
50	50	1053
51	51	1652
52	52	2680
53	53	4532
54	54	7990
55	55	14458
56	56	24682
57	57	37699
58	58	47271
59	59	48522
60	60	43850
61	61	36944
62	62	31263
63	63	26810
64	64	24325
65	65	23180
66	66	23025
67	67	22936
68	68	23732
69	69	24299
70	70	25138
71	71	26027
72	72	27187
73	73	28542
74	74	29429
75	75	30837
76	76	31989
77	77	34859
78	78	37834
79	79	40093
80	80	40834
81	81	37395
82	82	31773
83	83	25624
84	84	20873
85	85	18207
86	86	16134
87	87	15024
88	88	14335
89	89	13599
90	90	12905
91	91	12523
92	92	12025
93	93	11745
94	94	11447
95	95	10978
96	96	10677
97	97	10298
98	98	10247
99	99	10081
100	100	10024
101	101	9586
102	102	9043
103	103	8359
104	104	7200
105	105	6242
106	106	5939
107	107	6508
108	108	8449
109	109	10192
110	110	11523
111	111	12552
112	112	13711
113	113	14936
114	114	17770
115	115	24646
116	116	40987
117	117	67300
118	118	94087
119	119	108979
120	120	104837
121	121	90624
122	122	79784
123	123	76695
124	124	79062
125	125	82356
126	126	86448
127	127	89948
128	128	94142
129	129	97816
130	130	101517
131	131	106769
132	132	110627
133	133	114519
134	134	115781
135	135	115557
136	136	115165
137	137	114349
138	138	111503
139	139	107952
140	140	102491
141	141	94187
142	142	85717
143	143	78850
144	144	74464
145	145	71208
146	146	69853
147	147	68910
148	148	68824
149	149	68202
150	150	68587
151	151	68152
152	152	67671
153	153	66910
154	154	65266
155	155	63037
156	156	61140
157	157	59387
158	158	58856
159	159	58478
160	160	59197
161	161	60240
162	162	60664
163	163	60683
164	164	61734
165	165	62495
166	166	64586
167	167	65696
168	168	67936
169	169	71105
170	170	74855
171	171	78901
172	172	84212
173	173	89799
174	174	94478
175	175	97407
176	176	97072
177	177	94433
178	178	90148
179	179	87186
180	180	84805
181	181	84656
182	182	86309
183	183	89796
184	184	96242
185	185	102192
186	186	111690
187	187	124335
188	188	139209
189	189	154922
190	190	171304
191	191	187592
192	192	202195
193	193	217358
194	194	231279
195	195	245921
196	196	257962
197	197	268057
198	198	267537
199	199	258452
200	200	241307
201	201	218961
202	202	198898
203	203	181627
204	204	168432
205	205	160115
206	206	151874
207	207	145188
208	208	138761
209	209	132402
210	210	125730
211	211	121314
212	212	116863
213	213	113727
214	214	110617
215	215	109853
216	216	108295
217	217	108465
218	218	108133
219	219	107535
220	220	106564
221	221	104127
222	222	100492
223	223	95769
224	224	90818
225	225	86803
226	226	82660
227	227	80072
228	228	78810
229	229	77097
230	230	75957
231	231	74636
232	232	74206
233	233	73202
234	234	72266
235	235	71851
236	236	71388
237	237	71359
238	238	70893
239	239	70847
240	240	70683
241	241	70866
242	242	70090
243	243	69158
244	244	69032
245	245	67930
246	246	67146
247	247	66002
248	248	65797
249	249	65963
250	250	65617
251	251	65807
252	252	65207
253	253	65706
254	254	66179
255	255	66625
256	256	65706
257	257	66142
258	258	66697
259	259	66708
260	260	66844
261	261	66927
262	262	67128
263	263	66287
264	264	66400
265	265	66646
266	266	65824
267	267	65987
268	268	66560
269	269	66593
270	270	66054
271	271	66554
272	272	66656
273	273	67326
274	274	67470
275	275	68336
276	276	68408
277	277	68913
278	278	69790
279	279	69824
280	280	69949
281	281	70672
282	282	70462
283	283	69976
284	284	70145
285	285	70682
286	286	70802
287	287	70549
288	288	70862
289	289	71327
290	290	71242
291	291	70993
292	292	71472
293	293	72258
294	294	72823
295	295	72675
296	296	73303
297	297	73447
298	298	73859
299	299	74432
300	300	74964
301	301	75270
302	302	75706
303	303	76334
304	304	76580
305	305	76407
306	306	76952
307	307	76610
308	308	76696
309	309	77574
310	310	76906
311	311	77480
312	312	77507
313	313	78421
314	314	78656
315	315	79007
316	316	78829
317	317	78827
318	318	79383
319	319	80412
320	320	80254
321	321	81237
322	322	81403
323	323	81431
324	324	81572
325	325	82246
326	326	82280
327	327	82865
328	328	83142
329	329	83216
330	330	83654
331	331	83745
332	332	83774
333	333	84158
334	334	84343
335	335	84263
336	336	84716
337	337	85339
338	338	85282
339	339	85899
340	340	86505
341	341	86581
342	342	87289
343	343	87244
344	344	88037
345	345	87684
346	346	88222
347	347	88382
348	348	88226
349	349	88850
350	350	88844
351	351	89358
352	352	89197
353	353	89923
354	354	89981
355	355	90245
356	356	90488
357	357	90857
358	358	91110
359	359	91469
360	360	91679
361	361	91577
362	362	92177
363	363	92475
364	364	92707
365	365	93015
366	366	92926
367	367	93704
368	368	93593
369	369	93891
370	370	93775
371	371	93069
372	372	93921
373	373	94317
374	374	94282
375	375	94470
376	376	94628
377	377	95018
378	378	94518
379	379	95251
380	380	95619
381	381	96034
382	382	96237
383	383	96440
384	384	96143
385	385	96966
386	386	96828
387	387	97028
388	388	97050
389	389	96830
390	390	97274
391	391	97658
392	392	97881
393	393	97681
394	394	98644
395	395	97532
396	396	97872
397	397	97643
398	398	97877
399	399	98421
400	400	97783
401	401	98849
402	402	98385
403	403	99119
404	404	98302
405	405	99115
406	406	98988
407	407	99062
408	408	99715
409	409	99275
410	410	99083
411	411	98922
412	412	99657
413	413	99340
414	414	98910
415	415	99002
416	416	99145
417	417	99599
418	418	99232
419	419	99338
420	420	98492
421	421	99200
422	422	99383
423	423	98813
424	424	99736
425	425	99214
426	426	99543
427	427	99619
428	428	99286
429	429	99422
430	430	99433
431	431	99886
432	432	99310
433	433	98941
434	434	99082
435	435	98621
436	436	98399
437	437	99353
438	438	98889
439	439	98788
440	440	98614
441	441	98970
442	442	98120
443	443	98610
444	444	98364
445	445	98010
446	446	98029
447	447	98283
448	448	97731
449	449	97540
450	450	97260
451	451	97376
452	452	97196
453	453	97693
454	454	97445
455	455	97061
456	456	97111
457	457	96658
458	458	96730
459	459	96560
460	460	96015
461	461	96159
462	462	95744
463	463	95622
464	464	95629
465	465	95669
466	466	95103
467	467	95535
468	468	95265
469	469	94560
470	470	94324
471	471	94106
472	472	94404
473	473	94086
474	474	93525
475	475	93942
476	476	93008
477	477	93404
478	478	93339
479	479	92717
480	480	92497
481	481	92713
482	482	91663
483	483	91546
484	484	91451
485	485	91743
486	486	91165
487	487	90448
488	488	90838
489	489	91379
490	490	90290
491	491	90267
492	492	89780
493	493	89295
494	494	89427
495	495	88782
496	496	88726
497	497	88048
498	498	88692
499	499	87539
500	500	87798
501	501	87224
502	502	87291
503	503	87307
504	504	86531
505	505	86451
506	506	86362
507	507	85688
508	508	85208
509	509	84987
510	510	84882
511	511	84358
512	512	84144
513	513	84372
514	514	83685
515	515	83210
516	516	82935
517	517	82811
518	518	82603
519	519	82132
520	520	81986
521	521	81628
522	522	81294
523	523	81217
524	524	80291
525	525	79893
526	526	79763
527	527	79777
528	528	79533
529	529	79231
530	530	78722
531	531	78810
532	532	78851
533	533	78341
534	534	77537
535	535	77307
536	536	77259
537	537	76800
538	538	76509
539	539	75903
540	540	75812
541	541	75363
