Descrizione Campione: 
Inizio misura: 20-05-24 11:31:27
RealTime: 254883
LiveTime: 254882
N eventi: 242156
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	0
71	71	0
72	72	0
73	73	0
74	74	0
75	75	0
76	76	0
77	77	0
78	78	0
79	79	0
80	80	0
81	81	0
82	82	0
83	83	0
84	84	0
85	85	0
86	86	0
87	87	0
88	88	0
89	89	0
90	90	0
91	91	0
92	92	0
93	93	0
94	94	0
95	95	0
96	96	0
97	97	0
98	98	0
99	99	0
100	100	0
101	101	0
102	102	0
103	103	3
104	104	0
105	105	3
106	106	4
107	107	4
108	108	3
109	109	2
110	110	3
111	111	1
112	112	5
113	113	3
114	114	1
115	115	3
116	116	2
117	117	4
118	118	2
119	119	4
120	120	3
121	121	3
122	122	4
123	123	3
124	124	2
125	125	3
126	126	3
127	127	2
128	128	1
129	129	1
130	130	4
131	131	2
132	132	0
133	133	5
134	134	5
135	135	4
136	136	2
137	137	1
138	138	4
139	139	1
140	140	2
141	141	2
142	142	5
143	143	3
144	144	3
145	145	3
146	146	4
147	147	3
148	148	3
149	149	1
150	150	1
151	151	2
152	152	1
153	153	4
154	154	2
155	155	3
156	156	5
157	157	6
158	158	2
159	159	5
160	160	1
161	161	1
162	162	1
163	163	4
164	164	2
165	165	5
166	166	10
167	167	3
168	168	0
169	169	3
170	170	1
171	171	2
172	172	2
173	173	5
174	174	6
175	175	5
176	176	3
177	177	3
178	178	1
179	179	0
180	180	2
181	181	6
182	182	5
183	183	1
184	184	4
185	185	4
186	186	8
187	187	4
188	188	2
189	189	3
190	190	2
191	191	1
192	192	4
193	193	2
194	194	3
195	195	0
196	196	2
197	197	3
198	198	4
199	199	5
200	200	1
201	201	3
202	202	1
203	203	3
204	204	5
205	205	3
206	206	2
207	207	7
208	208	2
209	209	4
210	210	1
211	211	5
212	212	2
213	213	4
214	214	1
215	215	5
216	216	7
217	217	5
218	218	2
219	219	5
220	220	4
221	221	1
222	222	2
223	223	3
224	224	0
225	225	0
226	226	3
227	227	5
228	228	4
229	229	3
230	230	3
231	231	4
232	232	2
233	233	4
234	234	2
235	235	3
236	236	1
237	237	4
238	238	1
239	239	1
240	240	7
241	241	2
242	242	2
243	243	1
244	244	0
245	245	0
246	246	0
247	247	3
248	248	3
249	249	3
250	250	2
251	251	2
252	252	2
253	253	5
254	254	1
255	255	0
256	256	4
257	257	2
258	258	2
259	259	3
260	260	3
261	261	4
262	262	2
263	263	3
264	264	3
265	265	2
266	266	1
267	267	6
268	268	4
269	269	6
270	270	2
271	271	2
272	272	4
273	273	6
274	274	0
275	275	0
276	276	2
277	277	4
278	278	5
279	279	4
280	280	5
281	281	1
282	282	5
283	283	4
284	284	2
285	285	2
286	286	5
287	287	6
288	288	1
289	289	1
290	290	2
291	291	4
292	292	1
293	293	3
294	294	4
295	295	3
296	296	5
297	297	6
298	298	6
299	299	1
300	300	7
301	301	8
302	302	2
303	303	5
304	304	2
305	305	6
306	306	2
307	307	6
308	308	4
309	309	2
310	310	1
311	311	3
312	312	2
313	313	4
314	314	4
315	315	2
316	316	2
317	317	1
318	318	3
319	319	7
320	320	1
321	321	2
322	322	5
323	323	5
324	324	1
325	325	0
326	326	3
327	327	2
328	328	6
329	329	4
330	330	4
331	331	2
332	332	0
333	333	2
334	334	6
335	335	1
336	336	2
337	337	2
338	338	4
339	339	6
340	340	4
341	341	3
342	342	2
343	343	5
344	344	7
345	345	1
346	346	2
347	347	3
348	348	2
349	349	4
350	350	0
351	351	6
352	352	4
353	353	5
354	354	2
355	355	3
356	356	4
357	357	5
358	358	6
359	359	4
360	360	1
361	361	6
362	362	2
363	363	2
364	364	1
365	365	1
366	366	2
367	367	4
368	368	3
369	369	6
370	370	1
371	371	5
372	372	3
373	373	5
374	374	3
375	375	3
376	376	1
377	377	2
378	378	6
379	379	0
380	380	5
381	381	2
382	382	3
383	383	2
384	384	3
385	385	1
386	386	1
387	387	1
388	388	2
389	389	1
390	390	1
391	391	3
392	392	1
393	393	2
394	394	2
395	395	2
396	396	2
397	397	2
398	398	3
399	399	4
400	400	4
401	401	2
402	402	4
403	403	0
404	404	3
405	405	2
406	406	3
407	407	3
408	408	0
409	409	6
410	410	2
411	411	3
412	412	4
413	413	3
414	414	3
415	415	1
416	416	4
417	417	1
418	418	7
419	419	2
420	420	3
421	421	5
422	422	2
423	423	3
424	424	2
425	425	2
426	426	3
427	427	5
428	428	3
429	429	5
430	430	2
431	431	7
432	432	0
433	433	3
434	434	4
435	435	1
436	436	2
437	437	6
438	438	3
439	439	3
440	440	3
441	441	3
442	442	4
443	443	5
444	444	2
445	445	2
446	446	5
447	447	3
448	448	2
449	449	3
450	450	0
451	451	3
452	452	4
453	453	1
454	454	4
455	455	0
456	456	3
457	457	2
458	458	2
459	459	0
460	460	5
461	461	3
462	462	4
463	463	5
464	464	3
465	465	3
466	466	2
467	467	3
468	468	7
469	469	2
470	470	3
471	471	4
472	472	6
473	473	2
474	474	2
475	475	2
476	476	7
477	477	2
478	478	3
479	479	1
480	480	2
481	481	1
482	482	0
483	483	3
484	484	4
485	485	3
486	486	3
487	487	2
488	488	5
489	489	4
490	490	5
491	491	4
492	492	6
493	493	2
494	494	3
495	495	3
496	496	2
497	497	2
498	498	0
499	499	6
500	500	3
501	501	4
502	502	3
503	503	1
504	504	4
505	505	2
506	506	3
507	507	0
508	508	3
509	509	1
510	510	5
511	511	5
512	512	1
513	513	1
514	514	5
515	515	5
516	516	1
517	517	1
518	518	2
519	519	1
520	520	4
521	521	0
522	522	2
523	523	2
524	524	1
525	525	2
526	526	1
527	527	1
528	528	2
529	529	4
530	530	3
531	531	2
532	532	2
533	533	3
534	534	1
535	535	0
536	536	3
537	537	4
538	538	1
539	539	6
540	540	1
541	541	5
542	542	9
543	543	1
544	544	3
545	545	4
546	546	4
547	547	1
548	548	3
549	549	2
550	550	1
551	551	3
552	552	7
553	553	5
554	554	4
555	555	5
556	556	3
557	557	2
558	558	2
559	559	2
560	560	4
561	561	2
562	562	1
563	563	3
564	564	4
565	565	5
566	566	2
567	567	1
568	568	1
569	569	1
570	570	1
571	571	3
572	572	3
573	573	2
574	574	2
575	575	0
576	576	1
577	577	6
578	578	1
579	579	0
580	580	3
581	581	4
582	582	2
583	583	2
584	584	1
585	585	3
586	586	7
587	587	3
588	588	2
589	589	0
590	590	0
591	591	6
592	592	2
593	593	2
594	594	2
595	595	0
596	596	1
597	597	0
598	598	1
599	599	2
600	600	2
601	601	2
602	602	2
603	603	9
604	604	1
605	605	3
606	606	6
607	607	2
608	608	2
609	609	2
610	610	4
611	611	3
612	612	1
613	613	6
614	614	3
615	615	2
616	616	6
617	617	5
618	618	2
619	619	3
620	620	5
621	621	2
622	622	1
623	623	7
