Descrizione Campione: 
Inizio misura: 08-05-24 16:46:04
RealTime: 409472
LiveTime: 409462
N eventi: 3478186
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	2
68	68	2
69	69	1
70	70	1
71	71	0
72	72	2
73	73	2
74	74	0
75	75	0
76	76	1
77	77	0
78	78	13
79	79	27
80	80	95
81	81	168
82	82	255
83	83	210
84	84	227
85	85	246
86	86	252
87	87	256
88	88	240
89	89	253
90	90	232
91	91	247
92	92	258
93	93	235
94	94	228
95	95	249
96	96	237
97	97	227
98	98	288
99	99	245
100	100	260
101	101	240
102	102	232
103	103	250
104	104	237
105	105	241
106	106	249
107	107	255
108	108	228
109	109	248
110	110	217
111	111	262
112	112	224
113	113	217
114	114	252
115	115	247
116	116	262
117	117	258
118	118	227
119	119	233
120	120	271
121	121	240
122	122	244
123	123	226
124	124	244
125	125	257
126	126	278
127	127	245
128	128	242
129	129	246
130	130	248
131	131	285
132	132	227
133	133	246
134	134	257
135	135	235
136	136	246
137	137	240
138	138	250
139	139	260
140	140	242
141	141	239
142	142	271
143	143	256
144	144	237
145	145	253
146	146	248
147	147	226
148	148	287
149	149	239
150	150	242
151	151	238
152	152	246
153	153	220
154	154	233
155	155	260
156	156	271
157	157	245
158	158	265
159	159	290
160	160	254
161	161	255
162	162	225
163	163	251
164	164	242
165	165	243
166	166	213
167	167	237
168	168	246
169	169	274
170	170	253
171	171	306
172	172	252
173	173	253
174	174	247
175	175	270
176	176	273
177	177	252
178	178	268
179	179	252
180	180	235
181	181	220
182	182	276
183	183	262
184	184	254
185	185	257
186	186	248
187	187	248
188	188	234
189	189	259
190	190	240
191	191	248
192	192	279
193	193	255
194	194	250
195	195	255
196	196	233
197	197	248
198	198	239
199	199	288
200	200	249
201	201	272
202	202	248
203	203	250
204	204	246
205	205	264
206	206	232
207	207	225
208	208	239
209	209	261
210	210	225
211	211	254
212	212	259
213	213	251
214	214	267
215	215	301
216	216	251
217	217	225
218	218	248
219	219	284
220	220	247
221	221	277
222	222	262
223	223	246
224	224	235
225	225	262
226	226	260
227	227	266
228	228	282
229	229	261
230	230	267
231	231	227
232	232	263
233	233	251
234	234	264
235	235	276
236	236	260
237	237	241
238	238	243
239	239	278
240	240	267
241	241	239
242	242	252
243	243	239
244	244	251
245	245	287
246	246	285
247	247	259
248	248	286
249	249	262
250	250	275
251	251	270
252	252	272
253	253	235
254	254	269
255	255	271
256	256	258
257	257	281
258	258	277
259	259	281
260	260	291
261	261	262
262	262	218
263	263	270
264	264	269
265	265	256
266	266	253
267	267	240
268	268	263
269	269	266
270	270	244
271	271	250
272	272	261
273	273	258
274	274	280
275	275	269
276	276	248
277	277	270
278	278	232
279	279	276
280	280	276
281	281	241
282	282	270
283	283	247
284	284	268
285	285	249
286	286	273
287	287	260
288	288	292
289	289	254
290	290	238
291	291	277
292	292	266
293	293	278
294	294	253
295	295	265
296	296	247
297	297	255
298	298	266
299	299	266
300	300	271
301	301	248
302	302	281
303	303	270
304	304	288
305	305	254
306	306	255
307	307	237
308	308	262
309	309	265
310	310	288
311	311	246
312	312	256
313	313	262
314	314	302
315	315	245
316	316	250
317	317	270
318	318	235
319	319	253
320	320	253
321	321	241
322	322	250
323	323	253
324	324	259
325	325	276
326	326	270
327	327	237
328	328	298
329	329	286
330	330	279
331	331	290
332	332	258
333	333	244
334	334	259
335	335	275
336	336	256
337	337	266
338	338	242
339	339	254
340	340	246
341	341	271
342	342	269
343	343	260
344	344	257
345	345	258
346	346	269
347	347	278
348	348	303
349	349	281
350	350	279
351	351	272
352	352	276
353	353	277
354	354	259
355	355	287
356	356	299
357	357	236
358	358	289
359	359	305
360	360	262
361	361	263
362	362	258
363	363	267
364	364	273
365	365	248
366	366	263
367	367	264
368	368	294
369	369	284
370	370	283
371	371	270
372	372	273
373	373	279
374	374	286
375	375	243
376	376	270
377	377	257
378	378	277
379	379	277
380	380	261
381	381	272
382	382	268
383	383	259
384	384	264
385	385	270
386	386	250
387	387	267
388	388	267
389	389	265
390	390	256
391	391	276
392	392	250
393	393	255
394	394	297
395	395	238
396	396	265
397	397	296
398	398	291
399	399	265
400	400	248
401	401	277
402	402	256
403	403	295
404	404	270
405	405	271
406	406	276
407	407	270
408	408	251
409	409	260
410	410	270
411	411	286
412	412	309
413	413	315
414	414	286
415	415	266
416	416	260
417	417	297
418	418	285
419	419	289
420	420	287
421	421	250
422	422	275
423	423	269
424	424	276
425	425	275
426	426	251
427	427	278
428	428	276
429	429	228
430	430	258
431	431	275
432	432	291
433	433	291
434	434	268
435	435	280
436	436	263
437	437	239
438	438	273
439	439	269
440	440	254
441	441	291
442	442	275
443	443	301
444	444	303
445	445	278
446	446	262
447	447	314
448	448	244
449	449	245
450	450	284
451	451	262
452	452	259
453	453	278
454	454	277
455	455	288
456	456	284
457	457	313
458	458	280
459	459	265
460	460	291
461	461	262
462	462	260
463	463	270
464	464	278
465	465	274
466	466	276
467	467	270
468	468	288
469	469	279
470	470	281
471	471	256
472	472	292
473	473	278
474	474	245
475	475	254
476	476	251
477	477	281
478	478	287
479	479	265
480	480	283
481	481	273
482	482	263
483	483	313
484	484	277
485	485	264
486	486	268
487	487	288
488	488	300
489	489	271
490	490	268
491	491	277
492	492	320
493	493	283
494	494	285
495	495	270
496	496	259
497	497	291
498	498	263
499	499	278
500	500	277
501	501	284
502	502	300
503	503	261
504	504	282
505	505	268
506	506	272
507	507	272
508	508	281
509	509	283
510	510	284
511	511	282
512	512	287
513	513	274
514	514	288
515	515	315
516	516	267
517	517	275
518	518	272
519	519	293
520	520	270
521	521	265
522	522	298
523	523	263
524	524	281
525	525	299
526	526	264
527	527	283
528	528	280
529	529	275
530	530	243
531	531	300
532	532	308
533	533	269
534	534	269
535	535	265
536	536	292
537	537	283
538	538	277
539	539	286
540	540	266
541	541	294
542	542	256
543	543	278
544	544	296
545	545	310
546	546	310
547	547	295
548	548	291
549	549	294
550	550	307
551	551	290
552	552	325
553	553	287
554	554	279
555	555	291
556	556	310
557	557	293
558	558	295
559	559	298
560	560	297
561	561	297
562	562	290
563	563	307
564	564	302
565	565	322
566	566	308
567	567	246
568	568	322
569	569	293
570	570	299
571	571	281
572	572	292
573	573	315
574	574	314
575	575	285
576	576	305
577	577	291
578	578	280
579	579	313
580	580	315
581	581	292
582	582	312
583	583	290
584	584	303
585	585	289
586	586	293
587	587	291
588	588	293
589	589	303
590	590	306
591	591	280
592	592	290
593	593	318
594	594	302
595	595	302
596	596	300
597	597	289
598	598	307
599	599	296
600	600	292
601	601	300
602	602	287
603	603	309
604	604	315
605	605	306
606	606	310
607	607	292
608	608	327
609	609	295
610	610	302
611	611	294
612	612	294
613	613	294
614	614	291
615	615	273
616	616	318
617	617	328
618	618	297
619	619	314
620	620	301
621	621	296
622	622	297
623	623	304
