Descrizione Campione: 
Inizio misura: 15-11-23 18:03:15
RealTime: 163101
LiveTime: 163098
N eventi: 772584
Calibrazione: E = -4.40096e-07 * C^2 + 0.0240172 * C + -3.43827
Canale	Energia	Eventi
0	-3.43827	0
1	-3.41425	1
2	-3.39023	0
3	-3.36622	0
4	-3.3422	0
5	-3.31819	0
6	-3.29418	0
7	-3.27017	0
8	-3.24616	0
9	-3.22215	0
10	-3.19814	0
11	-3.17413	0
12	-3.15012	0
13	-3.12612	0
14	-3.10211	0
15	-3.07811	0
16	-3.0541	0
17	-3.0301	0
18	-3.0061	0
19	-2.9821	0
20	-2.9581	0
21	-2.9341	0
22	-2.9101	0
23	-2.8861	0
24	-2.86211	0
25	-2.83811	0
26	-2.81412	0
27	-2.79012	0
28	-2.76613	0
29	-2.74214	0
30	-2.71815	0
31	-2.69416	0
32	-2.67017	0
33	-2.64618	0
34	-2.62219	0
35	-2.5982	0
36	-2.57422	0
37	-2.55023	0
38	-2.52625	0
39	-2.50226	0
40	-2.47828	0
41	-2.4543	0
42	-2.43032	0
43	-2.40634	0
44	-2.38236	0
45	-2.35838	0
46	-2.33441	0
47	-2.31043	0
48	-2.28645	0
49	-2.26248	0
50	-2.23851	0
51	-2.21453	0
52	-2.19056	0
53	-2.16659	0
54	-2.14262	0
55	-2.11865	0
56	-2.09468	0
57	-2.07072	0
58	-2.04675	0
59	-2.02278	0
60	-1.99882	0
61	-1.97485	0
62	-1.95089	0
63	-1.92693	0
64	-1.90297	0
65	-1.87901	0
66	-1.85505	0
67	-1.83109	0
68	-1.80713	0
69	-1.78317	0
70	-1.75922	0
71	-1.73526	0
72	-1.71131	0
73	-1.68736	0
74	-1.6634	0
75	-1.63945	0
76	-1.6155	0
77	-1.59155	0
78	-1.5676	0
79	-1.54365	0
80	-1.51971	0
81	-1.49576	0
82	-1.47181	0
83	-1.44787	0
84	-1.42393	0
85	-1.39998	0
86	-1.37604	0
87	-1.3521	0
88	-1.32816	0
89	-1.30422	0
90	-1.28028	0
91	-1.25635	0
92	-1.23241	0
93	-1.20847	0
94	-1.18454	0
95	-1.1606	0
96	-1.13667	1
97	-1.11274	0
98	-1.08881	0
99	-1.06488	0
100	-1.04095	1
101	-1.01702	0
102	-0.99309	2
103	-0.969163	3
104	-0.945237	5
105	-0.921312	23
106	-0.897388	43
107	-0.873464	82
108	-0.849542	195
109	-0.82562	370
110	-0.801699	804
111	-0.777779	1593
112	-0.75386	2645
113	-0.729942	3479
114	-0.706024	3916
115	-0.682108	3959
116	-0.658193	3893
117	-0.634278	3605
118	-0.610364	3446
119	-0.586451	3170
120	-0.562539	2957
121	-0.538628	2731
122	-0.514718	2665
123	-0.490808	2443
124	-0.4669	2154
125	-0.442992	2013
126	-0.419085	1972
127	-0.39518	1802
128	-0.371275	1732
129	-0.347371	1601
130	-0.323467	1443
131	-0.299565	1322
132	-0.275663	1186
133	-0.251763	1153
134	-0.227863	1127
135	-0.203964	1011
136	-0.180066	936
137	-0.156169	949
138	-0.132273	931
139	-0.108378	879
140	-0.0844835	845
141	-0.0605899	784
142	-0.0366973	778
143	-0.0128055	696
144	0.0110854	764
145	0.0349754	702
146	0.0588646	680
147	0.0827528	702
148	0.10664	637
149	0.130527	595
150	0.154412	634
151	0.178297	556
152	0.202181	579
153	0.226064	557
154	0.249946	576
155	0.273827	503
156	0.297708	486
157	0.321587	502
158	0.345466	499
159	0.369343	491
160	0.39322	454
161	0.417096	491
162	0.440971	424
163	0.464845	414
164	0.488719	389
165	0.512591	399
166	0.536463	387
167	0.560333	403
168	0.584203	337
169	0.608072	365
170	0.63194	346
171	0.655807	364
172	0.679673	341
173	0.703539	340
174	0.727403	329
175	0.751267	305
176	0.775129	293
177	0.798991	288
178	0.822852	257
179	0.846712	261
180	0.870572	280
181	0.89443	282
182	0.918287	285
183	0.942144	255
184	0.966	251
185	0.989854	224
186	1.01371	190
187	1.03756	209
188	1.06141	219
189	1.08526	180
190	1.10912	196
191	1.13296	183
192	1.15681	171
193	1.18066	171
194	1.20451	158
195	1.22835	155
196	1.2522	158
197	1.27604	162
198	1.29989	161
